candidate_id,Self Awareness (Final),Parts Completed,Overall Score,Location,Years of Experience,Gender,Chart Interpretation score,Chart Interpretation Self Rating,Data Literacy score,Data Literacy Self Rating,Reports & Visualisations score,Reports & Visualisations Self Rating,SQL score,SQL Self Rating,Business Acumen score,Business Acumen Self Rating,wordCount,BOW_business_acumen,BOW_chart_intepretation,BOW_data_literacy,BOW_reports_visualisation,BOW_sql,ATS_noweight,ATS_weighted,QS_rank,Highest Degree Level,Highest level of company position
27830,-2.9764,3,6.7,2,6,0,10,10,8.636,8,8,9,0.625,8,2.857,10,410,0.009756098,0,0.002439024,0.002439024,0,0.4375,0.5625,571,1,2
27832,-3.6546,3,1.1,2,8,0,,5,2.727,3,2,6,,2,,7,1098,0.014571949,0,0,0,0.005464481,0.325,0.425,0,,2
27835,-3.2736,3,3,1,5,0,1.905,5,7.727,5,2,5,,5,,8,580,0.029310345,0.001724138,0.003448276,0,0.003448276,0.5,0.625,801,1,1
27838,-5.1446,3,5,1,4,0,8.095,10,8.182,9,3,9,,7,,10,315,0.00952381,0,0,0.006349206,0,0.5,0.625,801,0,1
27839,-6.4244,3,2.5,6,5,1,3.333,9,4.545,9,2,9,,7,,8,1542,0.011673152,0.000648508,0,0,0.000648508,0.5,0.625,238,1,2
27840,-6.0062,3,2.2,2,4,1,3.333,8,3.636,8,2,8,,7,,8,705,0.011347518,0,0,0.00141844,0.00141844,0.375,0.5,0,1,1
27844,-4.5992,3,4.6,2,7,0,8.095,10,5.909,10,5,10,,5,,7,339,0.002949853,0,0,0.002949853,0,0.2625,0.3625,0,0,1
27845,-8.9238,3,0.9,2,6,0,2.381,10,,10,2,10,,9,,10,671,0.007451565,0.001490313,0,0,0.004470939,0.3875,0.4875,0,1,1
27848,-2.768,3,5.8,2,7,0,6.667,9,8.636,8,9,9,,6,2.857,9,331,0.042296073,0,0,0.006042296,0,0.6,0.775,0,1,2
27850,-3.9984,3,4.6,2,10,0,6.19,10,6.818,6,7,8,,6,,10,745,0.014765101,0,0,0.001342282,0,0.55,0.7,0,1,2
27991,-5.0434,3,3.4,2,2,1,5.238,8,4.545,8,5,8,,9,,7,463,0.002159827,0.002159827,0,0,0.021598272,0.5,0.625,0,1,1
27994,-7.2148,3,2,1,3,1,2.381,9,4.545,9,,9,,7,,9,539,0,0,0.022263451,0,0.003710575,0.1625,0.2125,0,1,1
27996,-2.2692,3,1.6,3,9,0,2.381,3,2.273,3,2,3,,1,,8,2086,0.001438159,0,0,0,0,0.225,0.275,0,1,1
27997,-4.3984,3,4.6,4,12,0,6.19,9,6.818,9,7,9,,7,,8,307,0,0,0,0,0,0.05,0.075,801,,
28003,-6.6,3,0,2,17,1,,8,,7,,8,,1,,9,767,0,0,0,0,0,0.2,0.3,0,,
28005,-3.2078,3,4.9,2,4,0,7.143,8,6.818,7,7,9,,5,,8,142,0.014084507,0,0,0,0,0.275,0.35,146,1,1
28014,-6.6182,3,0.3,2,5,1,,6,0.909,7,,8,,5,,8,330,0.027272727,0,0,0,0.006060606,0.5,0.625,0,1,1
28015,-5.2744,3,3.9,1,5,1,3.81,10,6.818,9,7,9,,8,,8,1225,0.003265306,0.000816327,0,0.00244898,0.013877551,0.4375,0.5625,0,0,1
28018,-3.412,3,4.9,2,5,0,6.667,8,7.273,7,7,9,,7,,7,757,0.010568032,0,0,0.003963012,0.003963012,0.4875,0.6375,185,1,2
28019,-4.89,3,4.1,2,8,0,8.095,9,5.455,9,2,9,,6,,7,758,0.005277045,0.002638522,0.005277045,0,0.002638522,0.3875,0.4875,298,1,2
28020,-5.471,3,4.2,2,8,0,6.19,10,5.455,9,7,10,,7,,10,562,0.019572954,0.001779359,0,0.005338078,0.003558719,0.6125,0.7625,0,,2
28021,-3.6026,3,3.9,2,5,0,5.714,7,7.273,8,2,6,,4,,8,410,0.019512195,0,0,0,0,0.425,0.575,0,1,1
28029,-4.458,3,5.7,2,6,0,6.19,10,9.091,10,9,10,,8,1.429,10,740,0.02027027,0,0.002702703,0.002702703,0.001351351,0.4875,0.6375,185,1,1
28031,-5.3792,3,3.4,2,3,0,4.286,10,6.818,9,2,10,,3,,8,460,0.036956522,0,0,0.004347826,0,0.3875,0.4875,429,1,1
28032,-5.6,3,0,2,20,1,,8,,6,,5,,1,,8,397,0.020151134,0,0,0,0,0.325,0.425,338,0,3
28036,-6.3056,3,2.1,1,8,0,2.381,9,4.091,8,2,8,,8,,7,640,0.0078125,0,0,0.0046875,0.01875,0.375,0.5,0,0,1
28041,-3.9844,3,4.1,2,3,0,5.714,8,6.364,7,5,8,,6,,8,497,0.028169014,0.002012072,0.002012072,0.002012072,0.006036217,0.6,0.775,108,1,1
28042,-5.451,3,2.5,2,4,0,2.381,8,6.364,7,,8,,4,,9,614,0.011400651,0.004885993,0,0.001628664,0.003257329,0.475,0.65,0,,1
28051,-6.2562,3,2.8,2,10,0,3.81,9,5.909,8,,9,,7,,8,721,0.008321775,0,0,0.001386963,0,0.325,0.425,0,1,2
28052,-3.4804,3,4.2,2,5,0,7.143,9,5.455,8,5,8,,2,,8,337,0.011869436,0,0,0.002967359,0,0.4125,0.5875,651,1,1
